cap_round,college_code,college_name,choice_code,branch_name,status,home_university,quota_allocation,seat_type,stage,cutoff_rank,cutoff_percentile,city
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,GOPENS,I,37591,88.9550679,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,GSCS,I,58518,82.3322294,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,GSTS,I,94334,69.4936445,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,GVJS,I,44057,86.9194446,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,GNT1S,I,48422,85.5729148,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,GNT2S,I,41549,87.687217,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,GNT3S,I,50563,84.8736599,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,GOBCS,I,44130,86.9194446,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,GSEBCS,I,62247,81.1295102,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,LOPENS,I,30071,91.1459607,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,LSCS,I,45170,86.6223776,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,LSTS,I,49208,85.2215842,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,LVJS,I,66707,79.6986029,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,LNT2S,I,62338,81.1295102,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,LOBCS,I,41127,87.9159305,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,LSEBCS,I,69477,78.6137148,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,TFWS,I,131331,53.6060165,Amravati
Round 1,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,Autonomous Institute,State Level,EWS,I,197856,7.1701886,Amravati
